Mois,Saison,Détail,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Nórui,Eté-début,Météo,"Soleil de plomb implacable","Chaleur écrasante","Air vibrant","Ombres courtes et nettes","Recherche de la fraîcheur","Ciel d'un bleu profond","Terre poussiéreuse","Silence de l'après-midi","Grillons stridents","Nuits chaudes","Absence de pluie","Végétation qui jaunit","Rivières basses","Brise chaude et sèche","Mirages sur les chemins","Soleil brûlant","Besoin d'eau constant","Paysage assoupi","Poussière en suspension","Couchers de soleil rouges","Apogée de la chaleur","Journées interminables","Nuits courtes et tièdes","Étoiles filantes","Parfum de foin coupé","Chaleur nocturne","Lune brillante","Calme estival","Soleil éclatant dès l'aube","La nature attend la pluie","Air étouffant",
Nórui,Eté-début,Symbole,"☀️","🥵","🔥","☀️","🌳","☀️","🏜️","🤫","🦗","🌙","☀️","🌾","💧","🌬️","🌅","☀️","💧","😴","💨","🌇","🥵","🌅","🌙","🌠","🌾","🔥","🌕","😌","☀️","🏜️","🥵",
Cerveth,Eté-milieu,Jour,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,
Cerveth,Eté-milieu,Météo,"Chaleur accablante","Ciel d'un bleu laiteux","Air immobile","Soleil au zénith","Aucun nuage","Soif insatiable","Ombre rare et précieuse","Sueur perlant sur la peau","Activité réduite","Nuits étouffantes","Vent nul","Soleil blanc","Lenteur ambiante","Luminosité aveuglante","Chaleur rayonnante du sol","Brise nocturne bienvenue","Légère baisse des températures","Nuits plus respirables","Ciel étoilé magnifique","Voie Lactée visible","Chute de la température à l'aube","Air toujours sec en journée","Chaleur plus supportable","Espoir d'un orage","Lune rousse","Murmure du vent nocturne","Repos enfin possible","Ciel d'un bleu intense","Fin de la canicule",
Cerveth,Eté-milieu,Symbole,"🥵","🌤️","💨","☀️","☀️","💧","🌳","🥵","🚶‍♀️","🌃","🌬️","☀️","🚶‍♂️","☀️","🔥","🌬️","🌙","😌","🌌","✨","🌅","💨","🌤️","⛈️","🌕","🌬️","😴","☀️","😌",
Úrui,Eté-fin,Jour,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,
Úrui,Eté-fin,Météo,"Fruits gorgés de soleil","Odeurs de fruits mûrs","Brumes de chaleur","Air lourd","Températures très élevées","Abeilles et guêpes actives","Soleil cuisant","Vendanges précoces","Terre assoiffée","Feuilles qui tombent","Atmosphère orageuse","Nuages noirs à l'horizon","Vent violent et soudain","Pluie torrentielle","Grêle possible","Éclairs zébrant le ciel","Tonnerre assourdissant","Inondations éclairs","Fraîcheur intense","Terre qui boit avidement","Journées qui raccourcissent","Lumière matinale plus douce","Nuits sensiblement plus fraîches","Chaleur diurne encore forte","Premières brumes matinales","Air plus sec","Moins d'insectes","Ciel d'un bleu plus profond","Sensation de fin de saison","Calme avant l'automne",
Úrui,Eté-fin,Symbole,"🍓","🍇","🌫️","🥵","🔥","🐝","☀️","🍷","🏜️","🍂","⚡","☁️","🌬️","🌧️","🌨️","⚡","🌩️","🌊","💨","💧","🌅","🌤️","🌙","☀️","🌫️","💨","🦟","☀️","🍂","😌",
Ivanneth,Automne-début,Jour,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,
Ivanneth,Automne-début,Météo,"Journées chaudes et ensoleillées","Nuits fraîches","Lumière dorée et rasante","Ciel parfaitement clair","Air sec et vif","Toiles d'araignées","Couleurs chaudes du soir","Absence de vent","Dernières chaleurs","Sensation de plénitude","Premières feuilles jaunes et rouges","Forêts qui se parent de couleurs","Contraste avec le ciel bleu","Brise fraîche","Odeur de feuilles sèches","Récoltes abondantes","Matinées plus froides","Légères gelées blanches","Luminosité automnale","Paysages magnifiques","Brouillards matinaux persistants","Rosée abondante","Air qui devient humide","Premières pluies fines","Ciel qui se couvre","Odeur d'humus","Champignons qui poussent","Luminosité en baisse","Vent qui se lève","Fin de la douceur",
Ivanneth,Automne-début,Symbole,"☀️","🌙","🌇","☀️","💨","🕸️","🌅","🌬️","🔥","😌","🍂","🍁","☀️","🌬️","🍂","🍎","🥶","❄️","🌤️","🏞️","🌫️","💧","💧","🌧️","☁️","🍄","🍄","🌥️","🌬️","🍂",
Narbeleth,Automne-milieu,Jour,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,
Narbeleth,Automne-milieu,Météo,"Pluie fine et incessante","Ciel bas et gris","Brouillard épais","Visibilité réduite","Humidité pénétrante","Tapis de feuilles glissant","Odeur de décomposition végétale","Silence sous la pluie","Gouttes sur les vitres","Lumière faible et diffuse","Mélancolie automnale","Vent faible","Flaques d'eau partout","Arbres dégoulinants","Monde feutré","Vent qui forcit","Grandes rafales","Branches qui craquent","Feuilles mortes qui tourbillonnent","Pluie battante","Ciel tourmenté","Nuages rapides et sombres","Tempêtes automnales","Mer agitée","Baisse des températures","Sensation de froid","Arbres qui se dénudent","Le vent s'engouffre partout","Volets qui claquent","Force de la nature",
Narbeleth,Automne-milieu,Symbole,"🌧️","☁️","🌫️","🌫️","💧","🍂","🍂","🤫","💧","🌥️","😔","🌬️","💧","🌳","🤫","💨","🌬️","🌳","🍂","🌧️","☁️","☁️","⛈️","🌊","🥶","🥶","🌳","🌬️","🚪","💨",
Hithui,Automne-fin,Jour,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,
Hithui,Automne-fin,Météo,"Vent glacial du nord","Sensation de froid intense","Arbres squelettiques","Ciel d'un gris uniforme","Luminosité très faible","Pluies glacées","Bourrasques violentes","Dernières feuilles qui tombent","Paysage désolé","Nuits longues et froides","Premières gelées fortes","Sol durci par le gel","Flocons épars et humides","Neige qui ne tient pas","Atmosphère de fin d'année","Froid sec et piquant","Ciel qui s'éclaircit parfois","Soleil d'hiver pâle","Silence glacial","Attente de l'hiver","Températures négatives","Verglas matinal","Brouillard givrant","Journées très courtes","Nuits noires et profondes","Ciel clair et glacial la nuit","Étoiles brillantes et froides","La nature est en dormance","Froid persistant","L'hiver est là",
Hithui,Automne-fin,Symbole,"🌬️","🥶","🌳","☁️","🌥️","🌧️","💨","🍂","🏞️","🌃","🥶","🧊","❄️","🌨️","🤫","🥶","🌤️","☀️","🤫","⏳","🥶","🧊","🌫️","🌆","🌑","🌌","✨","😴","🥶","❄️",
Girithron,Hiver-début,Jour,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,
Girithron,Hiver-début,Météo,"Froid sec et mordant","Ciel bleu et glacial","Soleil bas et sans chaleur","Absence de vent","Gelées matinales sévères","Air pur et vif","Nuits étoilées et glaciales","Cheminées qui fument","Silence total","Cristaux de givre","Ciel qui se couvre","Neige abondante et légère","Paysage transformé","Flocons tourbillonnants","Manteau blanc épais","Silence assourdi par la neige","Arbres chargés de neige","Tempête de neige","Congères formées par le vent","Monde immobile et blanc","Froid polaire","Températures très basses","Verglas généralisé","Journées sombres","Nuits de gel intense","Le monde semble figé","Rivières prises par la glace","Dureté de l'hiver","Besoin de chaleur","Attente du solstice",
Girithron,Hiver-début,Symbole,"🥶","☀️","☀️","🌬️","🥶","✨","🌌","💨","🤫","❄️","☁️","🌨️","🏞️","❄️","⛄️","🤫","🌳","⛈️","🌬️","🏔️","🥶","🥶","🧊","🌆","🌃","🧊","🌊","🥶","🔥","☀️",

